"filename", "language", "vue", "TypeScript", "JavaScript", "Less", "comment", "blank", "total"
"d:\vscode\pj\re-project\src\App.vue", "vue", 35, 0, 0, 0, 0, 3, 38
"d:\vscode\pj\re-project\src\api\config.ts", "TypeScript", 0, 24, 0, 0, 63, 3, 90
"d:\vscode\pj\re-project\src\api\request.ts", "TypeScript", 0, 10, 0, 0, 0, 6, 16
"d:\vscode\pj\re-project\src\components\Advertisement.vue", "vue", 56, 0, 0, 0, 0, 12, 68
"d:\vscode\pj\re-project\src\components\Header\MiddleTopHeader.vue", "vue", 147, 0, 0, 0, 0, 7, 154
"d:\vscode\pj\re-project\src\components\Header\MiniMiddleHeader.vue", "vue", 68, 0, 0, 0, 0, 7, 75
"d:\vscode\pj\re-project\src\components\IconButton.vue", "vue", 42, 0, 0, 0, 0, 3, 45
"d:\vscode\pj\re-project\src\components\Loading.vue", "vue", 13, 0, 0, 0, 0, 1, 14
"d:\vscode\pj\re-project\src\components\Logo.vue", "vue", 103, 0, 0, 0, 0, 5, 108
"d:\vscode\pj\re-project\src\components\MessageItem.vue", "vue", 123, 0, 0, 0, 0, 12, 135
"d:\vscode\pj\re-project\src\components\Messager.vue", "vue", 66, 0, 0, 0, 0, 5, 71
"d:\vscode\pj\re-project\src\components\NotificationContent.vue", "vue", 72, 0, 0, 0, 3, 3, 78
"d:\vscode\pj\re-project\src\components\Post.vue", "vue", 365, 0, 0, 0, 3, 31, 399
"d:\vscode\pj\re-project\src\components\Publish.vue", "vue", 193, 0, 0, 0, 0, 22, 215
"d:\vscode\pj\re-project\src\components\Setting\SettingDetailItem.vue", "vue", 52, 0, 0, 0, 0, 1, 53
"d:\vscode\pj\re-project\src\components\Setting\SettingItem.vue", "vue", 40, 0, 0, 0, 0, 3, 43
"d:\vscode\pj\re-project\src\components\Skeleton\HomeSkeleton.vue", "vue", 142, 0, 0, 0, 0, 11, 153
"d:\vscode\pj\re-project\src\components\TabBar.vue", "vue", 81, 0, 0, 0, 0, 3, 84
"d:\vscode\pj\re-project\src\components\TopBarSetting\Mark.vue", "vue", 24, 0, 0, 0, 0, 1, 25
"d:\vscode\pj\re-project\src\components\VirtualList\DynamicHeightVirtualList.vue", "vue", 490, 0, 0, 0, 0, 87, 577
"d:\vscode\pj\re-project\src\components\VirtualList\FixedHeightVirtualList.vue", "vue", 365, 0, 0, 0, 0, 47, 412
"d:\vscode\pj\re-project\src\components\VirtualList\ListItem.vue", "vue", 65, 0, 0, 0, 0, 9, 74
"d:\vscode\pj\re-project\src\components\VirtualList\VirtualList.vue", "vue", 123, 0, 0, 0, 0, 12, 135
"d:\vscode\pj\re-project\src\components\VirtualList\index.vue", "vue", 42, 0, 0, 0, 0, 4, 46
"d:\vscode\pj\re-project\src\constant\InputHeight.js", "JavaScript", 0, 0, 6, 0, 1, 2, 9
"d:\vscode\pj\re-project\src\constant\chat.js", "JavaScript", 0, 0, 12, 0, 15, 6, 33
"d:\vscode\pj\re-project\src\constant\publish.js", "JavaScript", 0, 0, 16, 0, 3, 5, 24
"d:\vscode\pj\re-project\src\constant\style.js", "JavaScript", 0, 0, 13, 0, 1, 2, 16
"d:\vscode\pj\re-project\src\constant\table.js", "JavaScript", 0, 0, 5, 0, 1, 2, 8
"d:\vscode\pj\re-project\src\hooks\useState.ts", "TypeScript", 0, 9, 0, 0, 0, 10, 19
"d:\vscode\pj\re-project\src\main.ts", "TypeScript", 0, 14, 0, 0, 3, 1, 18
