"filename", "language", "vue", "TypeScript", "comment", "blank", "total"
"d:\vscode\pj\re-project\src\components\Publish.vue", "vue", -7, 0, 0, 0, -7
"d:\vscode\pj\re-project\src\components\VirtualList\DynamicHeightVirtualList.vue", "vue", 14, 0, 0, 3, 17
"d:\vscode\pj\re-project\src\components\VirtualList\FixedHeightVirtualList.vue", "vue", 19, 0, 0, 0, 19
"d:\vscode\pj\re-project\src\components\VirtualList\VirtualList.vue", "vue", -1, 0, 0, 1, 0
"d:\vscode\pj\re-project\src\pages\Home\Home.vue", "vue", 8, 0, 0, 1, 9
"d:\vscode\pj\re-project\src\pages\Message.vue", "vue", 2, 0, 0, 0, 2
"d:\vscode\pj\re-project\src\pages\PostDetail.vue", "vue", 29, 0, 0, -1, 28
"d:\vscode\pj\re-project\src\pages\SettingDetail.vue", "vue", 6, 0, 0, 1, 7
"d:\vscode\pj\re-project\src\registerServiceWorker.ts", "TypeScript", 0, -28, 28, 0, 0
"d:\vscode\pj\re-project\src\router\index.ts", "TypeScript", 0, 5, 0, 1, 6
"d:\vscode\pj\re-project\src\types\Fixed.ts", "TypeScript", 0, 0, 0, 1, 1
"d:\vscode\pj\re-project\src\types\virtualList.ts", "TypeScript", 0, 8, 26, 2, 36
"d:\vscode\pj\re-project\src\views\LeftBar.vue", "vue", 7, 0, 0, 0, 7
"Total", "-", 77, -15, 54, 9, 125
