"filename", "language", "TypeScript", "vue", "Less", "JavaScript", "comment", "blank", "total"
"d:\vscode\pj\re-project\src\App.vue", "vue", 0, 35, 0, 0, 0, 3, 38
"d:\vscode\pj\re-project\src\api\config.ts", "TypeScript", 24, 0, 0, 0, 63, 3, 90
"d:\vscode\pj\re-project\src\api\request.ts", "TypeScript", 10, 0, 0, 0, 0, 6, 16
"d:\vscode\pj\re-project\src\components\Advertisement.vue", "vue", 0, 56, 0, 0, 0, 12, 68
"d:\vscode\pj\re-project\src\components\Header\MiddleTopHeader.vue", "vue", 0, 147, 0, 0, 0, 7, 154
"d:\vscode\pj\re-project\src\components\Header\MiniMiddleHeader.vue", "vue", 0, 68, 0, 0, 0, 7, 75
"d:\vscode\pj\re-project\src\components\IconButton.vue", "vue", 0, 42, 0, 0, 0, 3, 45
"d:\vscode\pj\re-project\src\components\Loading.vue", "vue", 0, 13, 0, 0, 0, 1, 14
"d:\vscode\pj\re-project\src\components\Logo.vue", "vue", 0, 103, 0, 0, 0, 5, 108
"d:\vscode\pj\re-project\src\components\MessageItem.vue", "vue", 0, 123, 0, 0, 0, 12, 135
"d:\vscode\pj\re-project\src\components\Messager.vue", "vue", 0, 66, 0, 0, 0, 5, 71
"d:\vscode\pj\re-project\src\components\NotificationContent.vue", "vue", 0, 72, 0, 0, 3, 3, 78
"d:\vscode\pj\re-project\src\components\Post.vue", "vue", 0, 365, 0, 0, 3, 31, 399
"d:\vscode\pj\re-project\src\components\Publish.vue", "vue", 0, 186, 0, 0, 0, 22, 208
"d:\vscode\pj\re-project\src\components\Setting\SettingDetailItem.vue", "vue", 0, 52, 0, 0, 0, 1, 53
"d:\vscode\pj\re-project\src\components\Setting\SettingItem.vue", "vue", 0, 40, 0, 0, 0, 3, 43
"d:\vscode\pj\re-project\src\components\Skeleton\HomeSkeleton.vue", "vue", 0, 142, 0, 0, 0, 11, 153
"d:\vscode\pj\re-project\src\components\TabBar.vue", "vue", 0, 81, 0, 0, 0, 3, 84
"d:\vscode\pj\re-project\src\components\TopBarSetting\Mark.vue", "vue", 0, 24, 0, 0, 0, 1, 25
